param,probe_block,experiment,baseline,perturbed,dscore
Isob2ARp1_deph.Km,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
Isob2ARp1_deph.Km,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
Isob2ARp1_deph.Km,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
Isob2ARp1_deph.Km,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
Isob2ARp1_deph.Km,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
Isob2ARp1_deph.Km,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
Isob2ARp1_deph.Km,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
Isob2ARp1_deph.Km,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
Isob2ARp1_deph.Km,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
Isob2ARp1_deph.kcat,PKA,Heubach2004_Table1.json,0.061988,0.061988,-0.0
Isob2ARp1_deph.kcat,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
Isob2ARp1_deph.kcat,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
Isob2ARp1_deph.kcat,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
Isob2ARp1_deph.kcat,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
Isob2ARp1_deph.kcat,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
Isob2ARp1_deph.kcat,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
Isob2ARp1_deph.kcat,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
Isob2ARp1_deph.kcat,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
Isob2ARp1_deph.kcat,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
Isob2ARp1_deph.kcat,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
Isob2ARp1_deph.kcat,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
Isob2ARp1_deph.kcat,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
Isob2ARp1_deph.kcat,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
Isob2ARp1_deph.kcat,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
Isob2ARp1_deph.kcat,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
Isob2ARp1_deph.kcat,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
Isob2ARp1_deph.kcat,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
Isob2ARp1_deph.kcat,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
Isob2ARp1_deph.kcat,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
Isob2ARp2+barr2.Kd,PKA,Heubach2004_Table1.json,0.061988,0.061988,0.0
Isob2ARp2+barr2.Kd,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
Isob2ARp2+barr2.Kd,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
Isob2ARp2+barr2.Kd,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
Isob2ARp2+barr2.Kd,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
Isob2ARp2+barr2.Kd,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
Isob2ARp2+barr2.Kd,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
Isob2ARp2+barr2.Kd,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
Isob2ARp2+barr2.Kd,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
Isob2ARp2+barr2.Kd,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
Isob2ARp2+barr2.Kd,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
Isob2ARp2+barr2.Kd,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
Isob2ARp2+barr2.Kd,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
Isob2ARp2+barr2.Kd,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
Isob2ARp2+barr2.Kd,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
Isob2ARp2+barr2.Kd,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
Isob2ARp2+barr2.Kd,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
Isob2ARp2+barr2.Kd,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
Isob2ARp2+barr2.Kd,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
Isob2ARp2+barr2.Kd,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
Isob2ARp2+barr2.tau,PKA,Heubach2004_Table1.json,0.061988,0.061988,0.0
Isob2ARp2+barr2.tau,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
Isob2ARp2+barr2.tau,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
Isob2ARp2+barr2.tau,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
Isob2ARp2+barr2.tau,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
Isob2ARp2+barr2.tau,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
Isob2ARp2+barr2.tau,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
Isob2ARp2+barr2.tau,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
Isob2ARp2+barr2.tau,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
Isob2ARp2+barr2.tau,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
Isob2ARp2+barr2.tau,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
Isob2ARp2+barr2.tau,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
Isob2ARp2+barr2.tau,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
Isob2ARp2+barr2.tau,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
Isob2ARp2+barr2.tau,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
Isob2ARp2+barr2.tau,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
Isob2ARp2+barr2.tau,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
Isob2ARp2+barr2.tau,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
Isob2ARp2+barr2.tau,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
Isob2ARp2+barr2.tau,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
Isob2ARp2_barr2_internalize.Kf,PKA,Heubach2004_Table1.json,0.061988,0.061988,0.0
Isob2ARp2_barr2_internalize.Kf,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
Isob2ARp2_barr2_internalize.Kf,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
Isob2ARp2_barr2_internalize.Kf,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
Isob2ARp2_barr2_internalize.Kf,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
Isob2ARp2_barr2_internalize.Kf,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
Isob2ARp2_barr2_internalize.Kf,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
Isob2ARp2_barr2_internalize.Kf,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
Isob2ARp2_barr2_internalize.Kf,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
Isob2ARp2_barr2_internalize.Kf,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
Isob2ARp2_barr2_internalize.Kf,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
Isob2ARp2_barr2_internalize.Kf,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
Isob2ARp2_barr2_internalize.Kf,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
Isob2ARp2_barr2_internalize.Kf,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
Isob2ARp2_barr2_internalize.Kf,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
Isob2ARp2_barr2_internalize.Kf,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
Isob2ARp2_barr2_internalize.Kf,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
Isob2ARp2_barr2_internalize.Kf,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
Isob2ARp2_barr2_internalize.Kf,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
Isob2ARp2_barr2_internalize.Kf,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
Isob2ARp2_deph.Km,PKA,Heubach2004_Table1.json,0.061988,0.061988,0.0
Isob2ARp2_deph.Km,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
Isob2ARp2_deph.Km,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
Isob2ARp2_deph.Km,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
Isob2ARp2_deph.Km,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
Isob2ARp2_deph.Km,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
Isob2ARp2_deph.Km,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
Isob2ARp2_deph.Km,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
Isob2ARp2_deph.Km,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
Isob2ARp2_deph.Km,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
Isob2ARp2_deph.Km,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
Isob2ARp2_deph.Km,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
Isob2ARp2_deph.Km,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
Isob2ARp2_deph.Km,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
Isob2ARp2_deph.Km,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
Isob2ARp2_deph.Km,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
Isob2ARp2_deph.Km,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
Isob2ARp2_deph.Km,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
Isob2ARp2_deph.Km,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
Isob2ARp2_deph.Km,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
Isob2ARp2_deph.kcat,PKA,Heubach2004_Table1.json,0.061988,0.061988,0.0
Isob2ARp2_deph.kcat,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
Isob2ARp2_deph.kcat,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
Isob2ARp2_deph.kcat,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
Isob2ARp2_deph.kcat,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
Isob2ARp2_deph.kcat,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
Isob2ARp2_deph.kcat,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
Isob2ARp2_deph.kcat,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
Isob2ARp2_deph.kcat,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
Isob2ARp2_deph.kcat,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
Isob2ARp2_deph.kcat,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
Isob2ARp2_deph.kcat,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
Isob2ARp2_deph.kcat,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
Isob2ARp2_deph.kcat,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
Isob2ARp2_deph.kcat,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
Isob2ARp2_deph.kcat,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
Isob2ARp2_deph.kcat,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
Isob2ARp2_deph.kcat,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
Isob2ARp2_deph.kcat,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
Isob2ARp2_deph.kcat,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
Intb2ARp1_deph.Km,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
Intb2ARp1_deph.Km,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
Intb2ARp1_deph.Km,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
Intb2ARp1_deph.Km,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
Intb2ARp1_deph.Km,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
Intb2ARp1_deph.Km,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
Intb2ARp1_deph.Km,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
Intb2ARp1_deph.Km,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
Intb2ARp1_deph.Km,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
Intb2ARp1_deph.Km,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
Intb2ARp1_deph.Km,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
Intb2ARp1_deph.Km,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
Intb2ARp1_deph.Km,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
Intb2ARp1_deph.Km,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
Intb2ARp1_deph.Km,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
Intb2ARp1_deph.Km,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
Intb2ARp1_deph.Km,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
Intb2ARp1_deph.Km,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
Intb2ARp1_deph.Km,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
Intb2ARp1_deph.kcat,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
Intb2ARp1_deph.kcat,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
Intb2ARp1_deph.kcat,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
Intb2ARp1_deph.kcat,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
Intb2ARp1_deph.kcat,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
Intb2ARp1_deph.kcat,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
Intb2ARp1_deph.kcat,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
Intb2ARp1_deph.kcat,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
Intb2ARp1_deph.kcat,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
Intb2ARp1_deph.kcat,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
Intb2ARp1_deph.kcat,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
Intb2ARp1_deph.kcat,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
Intb2ARp1_deph.kcat,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
Intb2ARp1_deph.kcat,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
Intb2ARp1_deph.kcat,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
Intb2ARp1_deph.kcat,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
Intb2ARp1_deph.kcat,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
Intb2ARp1_deph.kcat,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
Intb2ARp1_deph.kcat,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
b2ARp2barr2p_deph.Km,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
b2ARp2barr2p_deph.Km,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
b2ARp2barr2p_deph.Km,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
b2ARp2barr2p_deph.Km,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
b2ARp2barr2p_deph.Km,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
b2ARp2barr2p_deph.Km,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
b2ARp2barr2p_deph.Km,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
b2ARp2barr2p_deph.Km,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
b2ARp2barr2p_deph.Km,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
b2ARp2barr2p_deph.Km,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
b2ARp2barr2p_deph.Km,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
b2ARp2barr2p_deph.Km,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
b2ARp2barr2p_deph.Km,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
b2ARp2barr2p_deph.Km,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
b2ARp2barr2p_deph.Km,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
b2ARp2barr2p_deph.Km,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
b2ARp2barr2p_deph.Km,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
b2ARp2barr2p_deph.Km,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
b2ARp2barr2p_deph.Km,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
b2ARp2barr2p_deph.kcat,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,-0.0
b2ARp2barr2p_deph.kcat,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
b2ARp2barr2p_deph.kcat,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
b2ARp2barr2p_deph.kcat,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
b2ARp2barr2p_deph.kcat,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
b2ARp2barr2p_deph.kcat,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
b2ARp2barr2p_deph.kcat,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
b2ARp2barr2p_deph.kcat,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
b2ARp2barr2p_deph.kcat,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
b2ARp2barr2p_deph.kcat,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
b2ARp2barr2p_deph.kcat,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
b2ARp2barr2p_deph.kcat,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
b2ARp2barr2p_deph.kcat,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
b2ARp2barr2p_deph.kcat,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
b2ARp2barr2p_deph.kcat,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
b2ARp2barr2p_deph.kcat,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
b2ARp2barr2p_deph.kcat,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
b2ARp2barr2p_deph.kcat,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
b2ARp2barr2p_deph.kcat,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
b2ARp2barr2p_dissoc.Kf,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
b2ARp2barr2p_dissoc.Kf,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
b2ARp2barr2p_dissoc.Kf,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
b2ARp2barr2p_dissoc.Kf,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
b2ARp2barr2p_dissoc.Kf,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
b2ARp2barr2p_dissoc.Kf,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
b2ARp2barr2p_dissoc.Kf,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
b2ARp2barr2p_dissoc.Kf,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
b2ARp2barr2p_dissoc.Kf,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
b2ARp2barr2p_dissoc.Kf,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
b2ARp2barr2p_dissoc.Kf,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
b2ARp2barr2p_dissoc.Kf,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
b2ARp2barr2p_dissoc.Kf,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
b2ARp2barr2p_dissoc.Kf,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
b2ARp2barr2p_dissoc.Kf,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
b2ARp2barr2p_dissoc.Kf,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
b2ARp2barr2p_dissoc.Kf,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
b2ARp2barr2p_dissoc.Kf,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
b2ARp2barr2p_dissoc.Kf,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
eGRK2+Epi_b2AR.Km,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
eGRK2+Epi_b2AR.Km,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
eGRK2+Epi_b2AR.Km,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
eGRK2+Epi_b2AR.Km,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
eGRK2+Epi_b2AR.Km,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
eGRK2+Epi_b2AR.Km,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
eGRK2+Epi_b2AR.Km,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
eGRK2+Epi_b2AR.Km,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
eGRK2+Epi_b2AR.Km,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
eGRK2+Epi_b2AR.Km,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
eGRK2+Epi_b2AR.Km,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
eGRK2+Epi_b2AR.Km,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
eGRK2+Epi_b2AR.Km,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
eGRK2+Epi_b2AR.Km,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
eGRK2+Epi_b2AR.Km,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
eGRK2+Epi_b2AR.Km,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
eGRK2+Epi_b2AR.Km,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
eGRK2+Epi_b2AR.Km,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
eGRK2+Epi_b2AR.Km,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
eGRK2+Epi_b2AR.kcat,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
eGRK2+Epi_b2AR.kcat,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
eGRK2+Epi_b2AR.kcat,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
eGRK2+Epi_b2AR.kcat,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
eGRK2+Epi_b2AR.kcat,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
eGRK2+Epi_b2AR.kcat,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
eGRK2+Epi_b2AR.kcat,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
eGRK2+Epi_b2AR.kcat,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
eGRK2+Epi_b2AR.kcat,AC,Feinstein1991_Fig5.json,0.067635,0.067635,0.0
eGRK2+Epi_b2AR.kcat,AC,January1997_Fig1A.json,0.474984,0.474984,0.0
eGRK2+Epi_b2AR.kcat,AC,Sette1996_Fig2B.json,0.319304,0.319304,0.0
eGRK2+Epi_b2AR.kcat,AC,Smigel1986_Fig3_wo_bg.json,0.406543,0.406543,0.0
eGRK2+Epi_b2AR.kcat,AC,Smigel1986_Fig3_with_bg.json,0.544004,0.544004,0.0
eGRK2+Epi_b2AR.kcat,AC,Smigel1986_Fig7_wo_bg.json,0.228118,0.228118,0.0
eGRK2+Epi_b2AR.kcat,AC,Smigel1986_Fig7_with_bg.json,0.36593,0.36593,0.0
eGRK2+Epi_b2AR.kcat,AC,Suzuki1991_Fig2.json,0.271145,0.271145,0.0
eGRK2+Epi_b2AR.kcat,AC,Tang1991_Fig3A.json,0.569884,0.569884,0.0
eGRK2+Epi_b2AR.kcat,AC,Tang1991_Fig3B.json,0.086423,0.086423,0.0
eGRK2+Epi_b2AR.kcat,AC,Yuan1994_Fig2.json,0.222758,0.222758,0.0
eGRK2+Iso_b2AR.Km,PKA,Heubach2004_Table1.json,0.061988,0.061988,0.0
eGRK2+Iso_b2AR.Km,PKA,Heubach2004_Table1_Forskolin.json,0.227183,0.227183,0.0
eGRK2+Iso_b2AR.Km,PKA,Hasler1992_Fig4C.json,0.369352,0.369352,0.0
eGRK2+Iso_b2AR.Km,PKA,Sette1994_Fig4BwithInhibitor.json,0.023687,0.023687,0.0
eGRK2+Iso_b2AR.Km,PKA,Sette1994_Fig4BwoInhibitor.json,0.123878,0.123878,0.0
eGRK2+Iso_b2AR.Km,PKA,Solberg1994_Fig7.json,0.249588,0.249588,0.0
eGRK2+Iso_b2AR.Km,PKA,Wolter2011_Fig2A.json,0.230396,0.230396,0.0
eGRK2+Iso_b2AR.Km,AC,Feinstein1991_Fig4_AC1.json,0.6082,0.6082,0.0
eGRK2+Iso_b2AR.Km,AC,Feinstein1991_Fig4_AC1_noCaM.json,0.655683,0.655683,0.0
