block,leaf,field,n_experiments,min_dscore,max_dscore,mean_abs_dscore,max_abs_dscore,status,manual_override,crosscheck_tested,crosscheck_peak_abs_dscore,crosscheck_verdict
Receptors_mTOR_S6K,eAKT+TSC1_2,Km,5,-1.4e-05,0.028098,0.005623,0.028098,sloppy,,,,
Receptors_mTOR_S6K,TSC1_2_deph,Kf,5,-2.4e-05,0.028331,0.005671,0.028331,sloppy,,,,
TrKs_PLCg,PLCg_deph,Kf,14,-0.028366,0.019406,0.006918,0.028366,well_identified,,,,
Receptors_Ras_2,ePKA+GEF,kcat,9,-0.028439,0.001274,0.006359,0.028439,sloppy,,,,
TrKB,IntTrKB2_deph,Kf,20,-0.028459,0.009684,0.005844,0.028459,well_identified,,,,
Glu_mGluR_1,Gq_release,Kf,21,-0.007553,0.028592,0.00237,0.028592,sloppy,,,,
Glu_mGluR_3,Glu+mGluR_Gq,tau,21,-0.028744,0.023158,0.003327,0.028744,well_identified,,,,
AMPAR_4,eCaMKII+AMPARpS845,Km,23,-0.028791,0.018525,0.004359,0.028791,sloppy,,,,
AC_1,Gs+AC1,tau,15,-0.005385,0.028891,0.002626,0.028891,sloppy,,,,
AC_2,CaMCa4+PDE1,tau,15,-3e-05,0.028915,0.001931,0.028915,sloppy,,,,
AMPAR_2,AMPA+sAMPARpS845S831,tau,23,-0.029196,0.026861,0.004626,0.029196,sloppy,,,,
Glu_mGluR_1,ePP2A+LRpS870G,Km,21,-3.8e-05,0.029199,0.001394,0.029199,sloppy,,,,
AMPAR_2,eCaMKII+AMPA_sAMPARpS845,kcat,23,-0.006794,0.029638,0.002236,0.029638,sloppy,,,,
Receptors_protein,pep_elongation,Kd,22,-0.029895,0.007931,0.003033,0.029895,sloppy,,,,
Receptors_AKT,ePP2A+AKTp,kcat,25,-0.0184,0.029997,0.005264,0.029997,well_identified,,,,
mGluR_PLCb,PLCb+Ca,Kd,10,-0.003442,0.030589,0.006143,0.030589,well_identified,,,,
AMPAR_2,AMPA+sAMPARpS831,Kd,23,-0.00688,0.031035,0.00302,0.031035,sloppy,,,,
TrKs_PLCg,eTrKB+CaPLCg,Km,14,-0.031348,5e-06,0.00224,0.031348,sloppy,,,,
AMPAR_2,ePP1+sAMPARpS845S831,kcat,23,-0.031626,0.022616,0.005295,0.031626,well_identified,,,,
DHPG_mGluR_2,DHPG_mGluR+Gq,tau,5,-0.032492,0.016096,0.009794,0.032492,sloppy,,,,
AMPAR_2,eCaMKII+AMPARpS845,kcat,23,-0.020343,0.032658,0.003127,0.032658,sloppy,,,,
Glu_mGluR_1,ePP2A+RpS870G,kcat,21,-0.000108,0.032984,0.001636,0.032984,sloppy,,,,
43S,Q+R,Kd,5,-0.00107,0.033166,0.007287,0.033166,well_identified,,,,
